Area,N_Alberi
Aree verdi cimiteriali,170
Lago Rosso,46
Largo Salvo d'Acquisto,19
Monumento ai Caduti,55
Piazza Libertà,3
Piazza Quinto Ennio,5
Piazza Resistenza,13
Piazzale e Aiuole Circostanti il Castello,54
Piazzale Mazzini,20
Piazzetta Padre E. Merola,2
Via Benendetto XV,1
Via Bengasi,73
Via Casole,62
Via Cigliano,52
Via Conti Orsini,42
Via Corsica,8
Via Cosimo Pinelli,16
Via Don Minzoni,4
Via Esterna Casole,3
Via Esterna Grottella,165
Via Eugenio Montale,31
Via Fatima,23
Via Fernando Verdesca,7
Via Firenze,97
Via Francesco Petrarca,12
Via Galatina,2
Via Giovanni Papini,1
Via Giovanni Pascoli,2
Via Giuseppe Saragat,62
Via Goffredo il Normanno,11
Via Grazia Deledda,8
Via Grottella,4
Via Imperatore Adriano,30
Via Lazzaro Spallanzani,100
Via Li Gelsi,11
Via Lorenzo Lorè,39
Via Lucania,21
Via Macrì,21
Via Mafalda di Savoia,12
Via Magistrato Mariano,37
Via Maria d'Enghien,29
Via Maria dEnghien,1
Via Mogadiscio,197
Via Padre Bonaventura Popolizio,45
Via Palmiro Togliatti,20
Via Paolo Borsellino,9
Via Partigiani d'Italia,108
Via Pompei,9
Via Raffaello Sanzio,218
Via Regina Isabella,277
Via Roma,180
Via S. Lorenzo Martire,24
Via San Cosimo,13
Via Sandro Pertini,49
Via Sant'Angelo,89
Via Spallanzani,3
Via Tenente Giuseppe Colaci,20
Via Tristano di Chiaromonte,9
Via Vittorio Bodini,18
Via Vittorio Emanuele III,106
Via XXV Aprile,1
Viale Garibaldi,70
Viale Re Galantuomo,46
Viale Terra d'Otranto,68
Villa Comunale So Carlo,79
